Pair.Name,Ligand.ApprovedSymbol,Ligand.Name,Receptor.ApprovedSymbol,Receptor.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,PMID.Manual,Pair.Source,Pair.Evidence
A2M_LRP1,A2M,alpha-2-macroglobulin,LRP1,low density lipoprotein receptor-related protein 1,,,,,,,A2M,LRP1,,known,literature supported
AANAT_MTNR1A,AANAT,aralkylamine N-acetyltransferase,MTNR1A,melatonin receptor 1A,,,,,,,AANAT,MTNR1A,,known,literature supported
AANAT_MTNR1B,AANAT,aralkylamine N-acetyltransferase,MTNR1B,melatonin receptor 1B,,,,,,,AANAT,MTNR1B,,known,literature supported
ACE_AGTR2,ACE,angiotensin I converting enzyme,AGTR2,"angiotensin II receptor, type 2",,,,,,,ACE,AGTR2,,novel,literature supported
ACE_BDKRB2,ACE,angiotensin I converting enzyme,BDKRB2,bradykinin receptor B2,,,,,,,ACE,BDKRB2,,novel,literature supported
ADAM10_AXL,ADAM10,ADAM metallopeptidase domain 10,AXL,AXL receptor tyrosine kinase,,,,,,,ADAM10,AXL,,novel,literature supported
ADAM10_EPHA3,ADAM10,ADAM metallopeptidase domain 10,EPHA3,EPH receptor A3,,,,,,,ADAM10,EPHA3,,novel,literature supported
ADAM12_ITGA9,ADAM12,ADAM metallopeptidase domain 12,ITGA9,"integrin, alpha 9",,,,,,,ADAM12,ITGA9,,known,literature supported
ADAM12_ITGB1,ADAM12,ADAM metallopeptidase domain 12,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,ADAM12,ITGB1,,known,literature supported
ADAM12_SDC4,ADAM12,ADAM metallopeptidase domain 12,SDC4,syndecan 4,,,,,,,ADAM12,SDC4,,known,literature supported
ADAM15_ITGA5,ADAM15,ADAM metallopeptidase domain 15,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,,,,ADAM15,ITGA5,,known,literature supported
ADAM15_ITGA9,ADAM15,ADAM metallopeptidase domain 15,ITGA9,"integrin, alpha 9",,,,,,,ADAM15,ITGA9,,known,literature supported
ADAM15_ITGAV,ADAM15,ADAM metallopeptidase domain 15,ITGAV,"integrin, alpha V",,,,,,,ADAM15,ITGAV,9914169,novel,literature supported
ADAM15_ITGB1,ADAM15,ADAM metallopeptidase domain 15,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,ADAM15,ITGB1,,known,literature supported
ADAM15_ITGB3,ADAM15,ADAM metallopeptidase domain 15,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",,,,,,,ADAM15,ITGB3,,known,literature supported
ADAM17_ERBB4,ADAM17,ADAM metallopeptidase domain 17,ERBB4,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4,,,,,,,ADAM17,ERBB4,,novel,literature supported
ADAM17_ITGA5,ADAM17,ADAM metallopeptidase domain 17,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,,,,ADAM17,ITGA5,,known,literature supported
ADAM17_ITGB1,ADAM17,ADAM metallopeptidase domain 17,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,ADAM17,ITGB1,,known,literature supported
ADAM17_NOTCH1,ADAM17,ADAM metallopeptidase domain 17,NOTCH1,notch 1,,,,,,,ADAM17,NOTCH1,,novel,literature supported
ADAM23_ITGA5,ADAM23,ADAM metallopeptidase domain 23,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,,,,ADAM23,ITGA5,,known,literature supported
ADAM23_ITGB3,ADAM23,ADAM metallopeptidase domain 23,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",,,,,,,ADAM23,ITGB3,,known,literature supported
ADAM28_ITGA4,ADAM28,ADAM metallopeptidase domain 28,ITGA4,"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)",,,,,,,ADAM28,ITGA4,,novel,literature supported
ADAM2_CD9,ADAM2,ADAM metallopeptidase domain 2,CD9,CD9 molecule,,,,,,,ADAM2,CD9,,novel,literature supported
ADAM2_ITGA6,ADAM2,ADAM metallopeptidase domain 2,ITGA6,"integrin, alpha 6",,,,,,,ADAM2,ITGA6,,known,literature supported
