"Ligand"	"Receptor"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"
"CCL18.CD4"	"CCL18"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	263	0	263
"CX3CL1.CD4"	"CX3CL1"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	357	0	357
"MYOC.CFTR"	"MYOC"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	201	0	201
"MYOC.CD4"	"MYOC"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"CX3CL1.RTN4R"	"CX3CL1"	"RTN4R"	0	0	0	0	0	0	0	0	0	0	0	186	0	186
"DCN.CD74"	"DCN"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	191	0	191
"CX3CL1.TNFRSF17"	"CX3CL1"	"TNFRSF17"	0	0	0	0	0	0	0	0	0	0	0	241	0	240
"ICAM3.CD9"	"ICAM3"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	264	400	539
"ICAM3.CD4"	"ICAM3"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	505	0	505
"CCL18.TNFRSF1A"	"CCL18"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"CX3CL1.TNFRSF1A"	"CX3CL1"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	167	0	167
"MYOC.TNFRSF1A"	"MYOC"	"TNFRSF1A"	0	0	0	0	0	0	0	391	0	0	0	0	0	390
"PRLH.CD4"	"PRLH"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"CX3CL1.EPHA8"	"CX3CL1"	"EPHA8"	0	0	0	0	0	0	0	0	0	0	0	216	0	216
"DCN.EPHA8"	"DCN"	"EPHA8"	0	0	0	0	0	0	0	0	100	0	0	62	78	153
"FGF4.CD9"	"FGF4"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	159	0	158
"FGF4.CD4"	"FGF4"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"FGF4.NGFR"	"FGF4"	"NGFR"	0	0	0	0	0	0	0	0	0	800	0	156	0	823
"NTN1.ITGA3"	"NTN1"	"ITGA3"	0	0	0	0	0	0	0	0	0	0	0	271	0	271
"NTN1.CD4"	"NTN1"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"NTN1.RTN4R"	"NTN1"	"RTN4R"	0	0	0	0	0	0	0	0	0	0	0	112	126	190
"NTN1.EPHA8"	"NTN1"	"EPHA8"	0	0	0	0	0	0	0	0	0	0	0	42	369	369
"NTN1.NGFR"	"NTN1"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	356	0	356
"HEBP1.DRD4"	"HEBP1"	"DRD4"	0	0	0	0	0	0	0	0	0	900	0	0	0	900
"SCT.SCTR"	"SCT"	"SCTR"	0	0	0	0	0	0	0	812	0	900	0	301	0	985
"FGF20.NGFR"	"FGF20"	"NGFR"	0	0	0	0	0	0	0	0	0	800	0	42	0	800
"THPO.CD9"	"THPO"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	267	0	267
"THPO.CD4"	"THPO"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	198	0	198
"THPO.TNFRSF1A"	"THPO"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	472	0	472
"THPO.IL4R"	"THPO"	"IL4R"	0	0	0	0	0	0	0	0	0	0	0	206	0	206
"THPO.NGFR"	"THPO"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	216	0	216
"EFNB1.CD4"	"EFNB1"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	198	0	198
"EFNB1.EPHA8"	"EFNB1"	"EPHA8"	0	0	0	0	0	0	467	0	324	0	0	472	600	913
"EFNB1.NGFR"	"EFNB1"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	212	0	212
"DLL3.CD4"	"DLL3"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"SEMA4G.EPHA8"	"SEMA4G"	"EPHA8"	0	0	0	0	0	0	0	0	74	0	0	109	341	408
"EFNA2.EPHA8"	"EFNA2"	"EPHA8"	0	0	0	0	0	0	467	0	324	0	0	480	600	915
"EFNA2.NGFR"	"EFNA2"	"NGFR"	0	0	0	0	0	0	0	0	0	800	0	191	0	831
"FGF22.NGFR"	"FGF22"	"NGFR"	0	0	0	0	0	0	0	0	0	800	0	0	0	800
"MADCAM1.CFTR"	"MADCAM1"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	217	0	217
"MADCAM1.CD74"	"MADCAM1"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	197	0	197
"MADCAM1.CD4"	"MADCAM1"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	416	0	416
"MADCAM1.TNFRSF1A"	"MADCAM1"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	270	0	270
"MADCAM1.IL4R"	"MADCAM1"	"IL4R"	0	0	0	0	0	0	0	0	0	0	0	195	0	195
"OSM.CD4"	"OSM"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	257	0	256
"OSM.IL4R"	"OSM"	"IL4R"	0	0	0	0	0	0	0	0	0	800	0	160	0	824
"THPO.IL2RB"	"THPO"	"IL2RB"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"OSM.IL2RB"	"OSM"	"IL2RB"	0	0	0	0	0	0	0	0	0	800	0	0	0	800
"NID2.ITGA3"	"NID2"	"ITGA3"	0	0	0	0	0	0	0	0	0	0	0	166	0	165
"GZMB.CD74"	"GZMB"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	214	0	214
"GZMB.CD4"	"GZMB"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	723	0	723
"GZMB.TNFRSF1A"	"GZMB"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	290	0	290
"GZMB.NGFR"	"GZMB"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	243	0	242
"GZMB.IL2RB"	"GZMB"	"IL2RB"	0	0	0	0	0	0	0	0	0	900	0	625	0	960
"HEBP1.BDKRB1"	"HEBP1"	"BDKRB1"	0	0	0	0	0	0	0	0	0	900	0	0	0	900
"UTS2.BDKRB1"	"UTS2"	"BDKRB1"	0	0	0	0	0	0	0	0	0	900	0	0	0	900
"RSPO4.CFTR"	"RSPO4"	"CFTR"	0	0	0	0	0	0	0	0	102	0	0	0	105	161
