"Ligand"	"Receptor"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"
"Fgf23.Ngfr"	"Fgf23"	"Ngfr"	0	0	0	0	0	0	0	0	0	800	0	69	0	805
"Fgf6.Ngfr"	"Fgf6"	"Ngfr"	0	0	0	0	0	0	0	0	0	800	0	95	0	811
"Ins2.Ngfr"	"Ins2"	"Ngfr"	0	0	0	0	0	0	0	0	0	800	0	70	184	834
"Cdh1.Cntn1"	"Cdh1"	"Cntn1"	0	0	0	0	0	0	0	0	0	0	0	0	732	732
"Cdh1.Ngfr"	"Cdh1"	"Ngfr"	0	0	0	0	0	0	0	0	0	0	0	306	0	306
"Wnt3.Pdgfra"	"Wnt3"	"Pdgfra"	0	0	0	0	0	0	0	0	110	0	0	148	109	265
"Fgf23.Pdgfra"	"Fgf23"	"Pdgfra"	0	0	0	0	0	0	0	0	64	800	0	49	219	842
"Fgf6.Pdgfra"	"Fgf6"	"Pdgfra"	0	0	0	0	0	0	0	0	64	800	0	97	219	850
"Ins2.Pdgfra"	"Ins2"	"Pdgfra"	0	0	0	0	0	0	0	0	80	800	0	0	173	834
"Cdh1.Pdgfra"	"Cdh1"	"Pdgfra"	0	0	0	0	0	0	0	0	0	0	0	220	0	220
"Pdgfb.Ngfr"	"Pdgfb"	"Ngfr"	0	0	0	0	0	0	0	0	0	800	0	129	65	822
"Pdgfb.Pdgfra"	"Pdgfb"	"Pdgfra"	0	0	0	0	0	0	0	0	756	900	559	649	134	996
"Pdgfb.Acvrl1"	"Pdgfb"	"Acvrl1"	0	0	0	0	0	0	0	0	0	0	0	336	0	336
"Wnt3.Acvr1b"	"Wnt3"	"Acvr1b"	0	0	0	0	0	0	0	0	0	0	0	249	138	324
"Cdh1.Acvr1b"	"Cdh1"	"Acvr1b"	0	0	0	0	0	0	0	0	0	0	0	305	0	305
"Sema4f.Cntn1"	"Sema4f"	"Cntn1"	0	0	0	0	0	0	0	0	0	0	0	0	190	190
"Fasl.Ngfr"	"Fasl"	"Ngfr"	0	0	0	0	0	0	0	0	0	0	0	158	75	187
"Il4.Pdgfra"	"Il4"	"Pdgfra"	0	0	0	0	0	0	0	0	0	0	0	0	423	423
"Il4.Il12rb1"	"Il4"	"Il12rb1"	0	0	0	0	0	0	0	0	0	800	559	0	100	913
"Icam4.Itgb2l"	"Icam4"	"Itgb2l"	0	0	0	0	0	0	0	0	87	900	369	0	0	937
"Icam2.Itgb2l"	"Icam2"	"Itgb2l"	0	0	0	0	0	0	0	0	160	900	369	0	75	944
"Icam2.Acvrl1"	"Icam2"	"Acvrl1"	0	0	0	0	0	160	0	0	0	0	0	0	0	159
"Col6a1.Pdgfra"	"Col6a1"	"Pdgfra"	0	0	0	0	0	366	0	0	0	0	0	77	64	404
"Col6a2.Pdgfra"	"Col6a2"	"Pdgfra"	0	0	0	0	0	180	0	0	0	0	0	89	0	221
"Cdh1.Lsr"	"Cdh1"	"Lsr"	0	0	0	0	0	213	77	0	0	0	0	0	0	242
