Human.gene.name,Gene.name
MT-ND1,MT-ND1
MT-ND2,MT-ND2
MT-CO1,MT-CO1
MT-CO2,MT-CO2
MT-ATP8,MT-ATP8
MT-ATP6,MT-ATP6
MT-CO3,MT-CO3
MT-ND3,MT-ND3
MT-ND4L,MT-ND4L
MT-ND4,MT-ND4
MT-ND5,MT-ND5
MT-ND6,MT-ND6
MT-CYB,MT-CYB
HIST1H1C,HIST1H1C
SELENOP,SELENOP
TTF1,TTF1
CPNE3,CPNE3
PRAMEF9,PRAMEF9
PRAMEF26,PRAMEF26
PRAMEF17,PRAMEF17
PRAMEF25,PRAMEF25
PRAMEF5,PRAMEF5
PRAMEF1,PRAMEF1
PRAMEF12,PRAMEF12
PRAMEF27,PRAMEF27
PRAMEF14,PRAMEF14
PRAMEF8,PRAMEF8
PRAMEF7,PRAMEF7
PRAMEF15,PRAMEF15
PRAMEF6,PRAMEF6
PRAMEF20,PRAMEF20
PRAMEF19,PRAMEF19
PRAMEF18,PRAMEF18
PRAMEF2,PRAMEF2
PRAMEF13,PRAMEF13
PRAMEF33,PRAMEF33
PRAMEF4,PRAMEF4
PRAMEF11,PRAMEF11
PRAMEF10,PRAMEF10
HLA-A,HLA-A
HLA-F,HLA-F
HLA-B,HLA-B
HLA-G,HLA-G
HLA-E,HLA-E
HLA-C,HLA-C
SYNPO2L,SYNPO2L
TAC4,TAC4
PLAC9,PLAC9
CYP2J2,CYP2J2
AKR1A1,AKR1A1
GPC4,GPC4
CYP4X1,CYP4X1
MANSC4,MANSC4
TMEM30B,TMEM30B
CCDC89,CCDC89
UROC1,UROC1
GSTTP1,GSTTP1
BRDT,BRDT
DEFB130,DEFB130
AC130366.1,AC130366.1
FAM98B,FAM98B
RASSF7,RASSF7
C3AR1,C3AR1
IGHV1-24,IGHV1-24
AC245369.4,AC245369.4
GML,GML
C12orf42,C12orf42
ETV3,ETV3
DEFB131,DEFB131
AP002495.1,AP002495.1
EXTL1,EXTL1
MFSD4B,MFSD4B
PLP2,PLP2
DACH2,DACH2
KLHL42,KLHL42
CRISPLD1,CRISPLD1
PRR5-ARHGAP8,PRR5-ARHGAP8
ARHGAP8,ARHGAP8
CD72,CD72
MOB3A,MOB3A
AC002310.5,AC002310.5
AC002310.4,AC002310.4
ZNF764,ZNF764
ZNF747,ZNF747
NSUN7,NSUN7
MKX,MKX
MFSD4B,MFSD4B
ELN,ELN
CYP11B1,CYP11B1
CYP11B2,CYP11B2
SLC39A6,SLC39A6
PRICKLE3,PRICKLE3
TMEM183A,TMEM183A
APOLD1,APOLD1
TRIM28,TRIM28
FAH,FAH
AP3S2,AP3S2
OR6C6,OR6C6
RNFT2,RNFT2
MXRA8,MXRA8
SLC6A14,SLC6A14
EOGT,EOGT
FAM181A,FAM181A
TMEM156,TMEM156
S100Z,S100Z
PLXNA4,PLXNA4
CST4,CST4
CST2,CST2
CST1,CST1
CST5,CST5
CRX,CRX
GHR,GHR
KLK3,KLK3
KLK2,KLK2
KLK1,KLK1
LSM10,LSM10
NLGN2,NLGN2
ASF1A,ASF1A
TMEM186,TMEM186
NIPSNAP1,NIPSNAP1
KNTC1,KNTC1
OLFML3,OLFML3
BX072566.1,BX072566.1
POTEC,POTEC
POTEB,POTEB
POTEF,POTEF
POTEB3,POTEB3
POTEG,POTEG
POTEA,POTEA
POTEM,POTEM
POTEI,POTEI
POTED,POTED
POTEH,POTEH
AC136352.3,AC136352.3
POTEJ,POTEJ
POTEE,POTEE
POTEB2,POTEB2
PMM2,PMM2
TMEM98,TMEM98
F2RL1,F2RL1
NMUR2,NMUR2
GK,GK
GK3P,GK3P
KLK3,KLK3
KLK2,KLK2
KLK1,KLK1
MYH3,MYH3
TYW1B,TYW1B
TYW1,TYW1
SPACA6,SPACA6
CYP2J2,CYP2J2
SLC6A13,SLC6A13
ANKRD16,ANKRD16
KLK3,KLK3
KLK2,KLK2
KLK1,KLK1
TMEM254,TMEM254
EPN3,EPN3
BTF3L4,BTF3L4
RPL18A,RPL18A
SRSF11,SRSF11
MCM9,MCM9
GRID2,GRID2
TEAD1,TEAD1
PABPC3,PABPC3
F2R,F2R
STX1B,STX1B
CELF1,CELF1
EPHX4,EPHX4
KLK15,KLK15
STX4,STX4
ZBTB45,ZBTB45
TESK1,TESK1
TIMELESS,TIMELESS
PRF1,PRF1
MSMO1,MSMO1
MEX3D,MEX3D
ZBTB34,ZBTB34
TAS2R39,TAS2R39
ERMP1,ERMP1
FBXO4,FBXO4
OPA3,OPA3
AC037459.1,AC037459.1
C8orf58,C8orf58
TAS2R40,TAS2R40
ATP2C2,ATP2C2
LAMTOR2,LAMTOR2
GPATCH1,GPATCH1
ALDH1A3,ALDH1A3
ECHDC3,ECHDC3
GAB1,GAB1
SLFN12,SLFN12
SLFN12L,SLFN12L
DNAJB9,DNAJB9
HIST1H2BM,HIST1H2BM
FGD5,FGD5
ARSA,ARSA
PTOV1,PTOV1
GUCA1B,GUCA1B
ASTL,ASTL
RHOC,RHOC
KIAA1755,KIAA1755
MAG,MAG
HMGA2,HMGA2
UNC93B1,UNC93B1
NDUFA4,NDUFA4
RFX5,RFX5
OR6C1,OR6C1
EPS8L3,EPS8L3
GSTK1,GSTK1
NECAP1,NECAP1
CEACAM3,CEACAM3
CEACAM4,CEACAM4
NWD1,NWD1
TEAD2,TEAD2
HADH,HADH
SH3RF2,SH3RF2
PRAMEF9,PRAMEF9
PRAMEF26,PRAMEF26
PRAMEF17,PRAMEF17
PRAMEF25,PRAMEF25
PRAMEF5,PRAMEF5
PRAMEF1,PRAMEF1
PRAMEF12,PRAMEF12
PRAMEF27,PRAMEF27
PRAMEF14,PRAMEF14
PRAMEF8,PRAMEF8
PRAMEF7,PRAMEF7
PRAMEF15,PRAMEF15
PRAMEF6,PRAMEF6
PRAMEF20,PRAMEF20
PRAMEF19,PRAMEF19
PRAMEF18,PRAMEF18
PRAMEF2,PRAMEF2
PRAMEF13,PRAMEF13
PRAMEF33,PRAMEF33
PRAMEF4,PRAMEF4
PRAMEF11,PRAMEF11
PRAMEF10,PRAMEF10
DEFB136,DEFB136
DCTN1,DCTN1
HARS2,HARS2
SENP1,SENP1
DEFB135,DEFB135
SYNDIG1,SYNDIG1
FAM206A,FAM206A
KIF21B,KIF21B
RHOG,RHOG
DYNLL1,DYNLL1
GSTT2,GSTT2
GSTT2B,GSTT2B
OR1E1,OR1E1
OR1E2,OR1E2
AGBL3,AGBL3
