Human.gene.name,Gene.name
MT-ND1,mt-Nd1
MT-ND2,mt-Nd2
MT-CO1,mt-Co1
MT-CO2,mt-Co2
MT-ATP8,mt-Atp8
MT-ATP6,mt-Atp6
MT-CO3,mt-Co3
MT-ND3,mt-Nd3
MT-ND4L,mt-Nd4l
MT-ND4,mt-Nd4
MT-ND5,mt-Nd5
MT-ND6,mt-Nd6
MT-CYB,mt-Cytb
HIST1H1C,Hist1h1c
SELENOP,Selenop
TTF1,Ttf1
CPNE3,Cpne3
PRAMEF9,B020004J07Rik
PRAMEF26,B020004J07Rik
PRAMEF17,B020004J07Rik
PRAMEF25,B020004J07Rik
PRAMEF5,B020004J07Rik
PRAMEF1,B020004J07Rik
PRAMEF12,B020004J07Rik
PRAMEF27,B020004J07Rik
PRAMEF14,B020004J07Rik
PRAMEF8,B020004J07Rik
PRAMEF7,B020004J07Rik
PRAMEF15,B020004J07Rik
PRAMEF6,B020004J07Rik
PRAMEF20,B020004J07Rik
PRAMEF19,B020004J07Rik
PRAMEF18,B020004J07Rik
PRAMEF2,B020004J07Rik
PRAMEF13,B020004J07Rik
PRAMEF33,B020004J07Rik
PRAMEF4,B020004J07Rik
PRAMEF11,B020004J07Rik
PRAMEF10,B020004J07Rik
HLA-A,H2-M1
HLA-F,H2-M1
HLA-B,H2-M1
HLA-G,H2-M1
HLA-E,H2-M1
HLA-C,H2-M1
SYNPO2L,Synpo2l
TAC4,Tac4
PLAC9,Gm9780
CYP2J2,Cyp2j8
AKR1A1,Akr1a1
GPC4,Gpc4
CYP4X1,Cyp4x1
MANSC4,Mansc4
TMEM30B,Tmem30b
CCDC89,Ccdc89
UROC1,Uroc1
GSTTP1,Gstt4
BRDT,Brdt
DEFB130,Defb47
AC130366.1,Defb47
FAM98B,Fam98b
RASSF7,Rassf7
C3AR1,C3ar1
IGHV1-24,Ighv1-74
AC245369.4,Ighv1-74
GML,Gml2
C12orf42,1700113H08Rik
ETV3,Etv3
DEFB131,Defb43
AP002495.1,Defb43
EXTL1,Extl1
MFSD4B,Mfsd4b3
PLP2,Plp2
DACH2,Dach2
KLHL42,Klhl42
CRISPLD1,Crispld1
PRR5-ARHGAP8,Arhgap8
ARHGAP8,Arhgap8
CD72,Cd72
MOB3A,Mob3a
AC002310.5,E430018J23Rik
AC002310.4,E430018J23Rik
ZNF764,E430018J23Rik
ZNF747,E430018J23Rik
NSUN7,Nsun7
MKX,Mkx
MFSD4B,Mfsd4b5
ELN,Eln
CYP11B1,Cyp11b1
CYP11B2,Cyp11b1
SLC39A6,Slc39a6
PRICKLE3,Prickle3
TMEM183A,Tmem183a
APOLD1,Apold1
TRIM28,Trim28
FAH,Fah
AP3S2,Ap3s2
OR6C6,Olfr782
RNFT2,Rnft2
MXRA8,Mxra8
SLC6A14,Slc6a14
EOGT,Eogt
FAM181A,Fam181a
TMEM156,Tmem156
S100Z,S100z
PLXNA4,Plxna4
CST4,Cst10
CST2,Cst10
CST1,Cst10
CST5,Cst10
CRX,Crx
GHR,Ghr
KLK3,Klk1b9
KLK2,Klk1b9
KLK1,Klk1b9
LSM10,Lsm10
NLGN2,Nlgn2
ASF1A,Asf1a
TMEM186,Tmem186
NIPSNAP1,Nipsnap1
KNTC1,Kntc1
OLFML3,Olfml3
BX072566.1,Gm15319
POTEC,Gm15319
POTEB,Gm15319
POTEF,Gm15319
POTEB3,Gm15319
POTEG,Gm15319
POTEA,Gm15319
POTEM,Gm15319
POTEI,Gm15319
POTED,Gm15319
POTEH,Gm15319
AC136352.3,Gm15319
POTEJ,Gm15319
POTEE,Gm15319
POTEB2,Gm15319
PMM2,Pmm2
TMEM98,Tmem98
F2RL1,F2rl1
NMUR2,Nmur2
GK,Gk
GK3P,Gk
KLK3,Klk1b1
KLK2,Klk1b1
KLK1,Klk1b1
MYH3,Myh8
TYW1B,Tyw1
TYW1,Tyw1
SPACA6,Spaca6
CYP2J2,Cyp2j6
SLC6A13,Slc6a13
ANKRD16,Ankrd16
KLK3,Klk1b8
KLK2,Klk1b8
KLK1,Klk1b8
TMEM254,Tmem254c
EPN3,Epn3
BTF3L4,Btf3l4
RPL18A,Rpl18a
SRSF11,Srsf11
MCM9,Mcm9
GRID2,Grid2
TEAD1,Tead1
PABPC3,Pabpc2
F2R,F2r
STX1B,Stx1b
CELF1,Celf1
EPHX4,Ephx4
KLK15,Klk15
STX4,Stx4a
ZBTB45,Zbtb45
TESK1,Tesk1
TIMELESS,Timeless
PRF1,Prf1
MSMO1,Msmo1
MEX3D,Mex3d
ZBTB34,Zbtb34
TAS2R39,Tas2r139
ERMP1,Ermp1
FBXO4,Fbxo4
OPA3,Opa3
AC037459.1,9930012K11Rik
C8orf58,9930012K11Rik
TAS2R40,Tas2r144
ATP2C2,Atp2c2
LAMTOR2,Lamtor2
GPATCH1,Gpatch1
ALDH1A3,Aldh1a3
ECHDC3,Echdc3
GAB1,Gab1
SLFN12,Slfn4
SLFN12L,Slfn4
DNAJB9,Dnajb9
HIST1H2BM,Hist1h2bb
FGD5,Fgd5
ARSA,Arsa
PTOV1,Ptov1
GUCA1B,Guca1b
ASTL,Astl
RHOC,Rhoc
KIAA1755,D630003M21Rik
MAG,Mag
HMGA2,Hmga2
UNC93B1,Unc93b1
NDUFA4,Ndufa4
RFX5,Rfx5
OR6C1,Olfr786
EPS8L3,Eps8l3
GSTK1,Gstk1
NECAP1,Necap1
CEACAM3,Psg16
CEACAM4,Psg16
NWD1,Nwd1
TEAD2,Tead2
HADH,Hadh
SH3RF2,Sh3rf2
PRAMEF9,C130073F10Rik
PRAMEF26,C130073F10Rik
PRAMEF17,C130073F10Rik
PRAMEF25,C130073F10Rik
PRAMEF5,C130073F10Rik
PRAMEF1,C130073F10Rik
PRAMEF12,C130073F10Rik
PRAMEF27,C130073F10Rik
PRAMEF14,C130073F10Rik
PRAMEF8,C130073F10Rik
PRAMEF7,C130073F10Rik
PRAMEF15,C130073F10Rik
PRAMEF6,C130073F10Rik
PRAMEF20,C130073F10Rik
PRAMEF19,C130073F10Rik
PRAMEF18,C130073F10Rik
PRAMEF2,C130073F10Rik
PRAMEF13,C130073F10Rik
PRAMEF33,C130073F10Rik
PRAMEF4,C130073F10Rik
PRAMEF11,C130073F10Rik
PRAMEF10,C130073F10Rik
DEFB136,Defb42
DCTN1,Dctn1
HARS2,Hars2
SENP1,Senp1
DEFB135,Defb30
SYNDIG1,Syndig1
FAM206A,Fam206a
